Date:2017-12-03 11:29:29,870 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:29:30,317 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:29:30,385 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 11:29:40,044 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:29:40,583 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:29:43,510 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:32:15,411 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:32:15,453 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:32:15,912 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:32:15,977 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 11:32:22,774 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:32:23,280 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:37:52,657 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:37:53,170 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:37:54,827 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:37:54,878 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:37:55,329 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:37:55,383 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 11:39:25,745 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:39:25,806 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:39:26,252 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:39:26,309 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 11:40:16,780 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:40:16,818 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:40:17,284 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:40:17,320 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 11:40:47,954 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:40:48,001 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:40:48,457 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:40:48,502 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 11:42:10,093 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:42:10,133 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:42:10,597 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:42:10,634 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 11:44:07,148 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:44:07,195 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:44:07,667 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:44:07,697 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 11:44:32,656 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
Date:2017-12-03 11:44:34,679 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving admin menu
Date:2017-12-03 11:44:34,779 Level:DEBUG PhotoB.Controllers.CartController - Retrieving cart
Date:2017-12-03 11:44:35,345 Level:DEBUG PhotoB.Controllers.PhotoController - Retrieving photo list
Date:2017-12-03 11:44:37,114 Level:DEBUG PhotoB.Controllers.MenuController - Retrieving category menu
